Time,A8,B1,B9,C10,D2,D11,E3,F4,G5,H6,Mean
0:00:09,0.019,0.023,0.011,0.013,0.02,0.025,0.017,0.011,0.007,0.006,0.0152
0:05:09,0.014,0.01,0.015,0.008,0.008,0.02,0.012,0.014,0.009,0.01,0.012
0:10:09,0.015,0.009,0.015,0.01,0.009,0.02,0.012,0.014,0.008,0.01,0.0122
0:15:09,0.016,0.008,0.014,0.009,0.009,0.02,0.011,0.015,0.008,0.01,0.012
0:20:09,0.017,0.008,0.015,0.008,0.009,0.019,0.012,0.015,0.008,0.011,0.0122
0:25:09,0.017,0.008,0.015,0.008,0.009,0.017,0.012,0.016,0.008,0.011,0.0121
0:30:09,0.018,0.008,0.015,0.008,0.009,0.017,0.012,0.017,0.008,0.011,0.0123
0:35:09,0.019,0.007,0.015,0.008,0.009,0.025,0.012,0.019,0.008,0.011,0.0133
0:40:09,0.02,0.007,0.016,0.008,0.009,0.029,0.012,0.021,0.008,0.012,0.0142
0:45:09,0.021,0.008,0.016,0.007,0.009,0.03,0.011,0.021,0.009,0.012,0.0144
0:50:09,0.022,0.008,0.016,0.008,0.009,0.034,0.012,0.022,0.009,0.012,0.0152
0:55:09,0.022,0.009,0.017,0.008,0.009,0.038,0.012,0.022,0.01,0.012,0.0159
1:00:09,0.023,0.009,0.017,0.008,0.01,0.037,0.013,0.024,0.01,0.013,0.0164
1:05:09,0.024,0.009,0.018,0.008,0.01,0.033,0.013,0.025,0.011,0.013,0.0164
1:10:09,0.025,0.009,0.018,0.009,0.011,0.029,0.013,0.026,0.011,0.014,0.0165
1:15:09,0.025,0.01,0.019,0.009,0.011,0.027,0.014,0.027,0.012,0.014,0.0168
1:20:09,0.026,0.01,0.02,0.009,0.012,0.027,0.014,0.027,0.013,0.015,0.0173
1:25:09,0.027,0.011,0.021,0.01,0.012,0.028,0.015,0.026,0.014,0.015,0.0179
1:30:09,0.028,0.012,0.022,0.01,0.013,0.03,0.015,0.026,0.014,0.016,0.0186
1:35:09,0.029,0.013,0.024,0.012,0.014,0.031,0.016,0.026,0.015,0.017,0.0197
1:40:09,0.03,0.015,0.025,0.013,0.014,0.032,0.017,0.027,0.016,0.017,0.0206
1:45:09,0.031,0.015,0.026,0.014,0.015,0.034,0.018,0.029,0.017,0.019,0.0218
1:50:09,0.032,0.016,0.027,0.015,0.015,0.035,0.019,0.031,0.018,0.019,0.0227
1:55:09,0.034,0.017,0.029,0.016,0.015,0.037,0.02,0.033,0.019,0.02,0.024
2:00:09,0.036,0.018,0.029,0.017,0.016,0.038,0.021,0.034,0.02,0.021,0.025
2:05:09,0.037,0.019,0.031,0.019,0.017,0.04,0.022,0.035,0.021,0.023,0.0264
2:10:09,0.038,0.02,0.032,0.02,0.018,0.042,0.024,0.037,0.023,0.024,0.0278
2:15:09,0.04,0.021,0.034,0.021,0.019,0.044,0.025,0.038,0.023,0.026,0.0291
2:20:09,0.041,0.022,0.036,0.022,0.02,0.045,0.026,0.039,0.024,0.028,0.0303
2:25:09,0.043,0.023,0.038,0.024,0.021,0.047,0.027,0.041,0.026,0.03,0.032
2:30:09,0.045,0.023,0.039,0.026,0.022,0.049,0.028,0.042,0.027,0.031,0.0332
2:35:09,0.047,0.023,0.039,0.027,0.023,0.05,0.029,0.044,0.029,0.031,0.0342
2:40:09,0.049,0.024,0.039,0.028,0.023,0.052,0.03,0.045,0.03,0.03,0.035
2:45:09,0.051,0.026,0.039,0.028,0.024,0.054,0.03,0.046,0.03,0.03,0.0358
2:50:09,0.054,0.027,0.039,0.028,0.025,0.056,0.031,0.048,0.03,0.03,0.0368
2:55:09,0.056,0.028,0.04,0.028,0.026,0.058,0.032,0.049,0.031,0.03,0.0378
3:00:09,0.058,0.029,0.043,0.029,0.027,0.06,0.034,0.05,0.032,0.031,0.0393
3:05:09,0.059,0.031,0.043,0.03,0.027,0.061,0.035,0.052,0.033,0.032,0.0403
3:10:09,0.059,0.032,0.046,0.032,0.027,0.063,0.036,0.053,0.034,0.034,0.0416
3:15:09,0.059,0.033,0.047,0.033,0.029,0.065,0.038,0.055,0.036,0.035,0.043
3:20:09,0.061,0.035,0.051,0.034,0.03,0.067,0.04,0.056,0.036,0.036,0.0446
