Time,A5,B6,C7,D8,E1,E9,F10,G2,G11,H3,Mean
0:00:09,0.016,0.019,0.012,0.004,0.011,0.011,0.005,0.013,0.003,0.008,0.0102
0:05:09,0.004,0.011,0.004,0.009,0.008,0.012,0.011,0.011,0.009,0.008,0.0087
0:10:09,0.004,0.01,0.003,0.009,0.007,0.011,0.011,0.011,0.008,0.007,0.0081
0:15:09,0.004,0.01,0.003,0.01,0.007,0.011,0.011,0.011,0.007,0.007,0.0081
0:20:09,0.004,0.01,0.003,0.009,0.007,0.01,0.011,0.01,0.006,0.007,0.0077
0:25:09,0.004,0.01,0.003,0.009,0.007,0.01,0.01,0.01,0.006,0.007,0.0076
0:30:09,0.005,0.011,0.003,0.009,0.007,0.009,0.01,0.01,0.005,0.007,0.0076
0:35:09,0.005,0.012,0.003,0.009,0.007,0.009,0.01,0.01,0.005,0.007,0.0077
0:40:09,0.005,0.012,0.003,0.009,0.007,0.009,0.01,0.01,0.005,0.007,0.0077
0:45:09,0.005,0.013,0.003,0.009,0.007,0.009,0.01,0.01,0.005,0.007,0.0078
0:50:09,0.005,0.013,0.003,0.009,0.008,0.009,0.01,0.01,0.005,0.007,0.0079
0:55:09,0.006,0.014,0.004,0.01,0.008,0.009,0.01,0.011,0.005,0.007,0.0084
1:00:09,0.006,0.014,0.004,0.01,0.008,0.01,0.01,0.011,0.005,0.008,0.0086
1:05:09,0.007,0.015,0.004,0.011,0.009,0.01,0.011,0.011,0.006,0.008,0.0092
1:10:09,0.007,0.015,0.005,0.011,0.01,0.011,0.011,0.012,0.006,0.009,0.0097
1:15:09,0.008,0.015,0.005,0.012,0.011,0.012,0.011,0.012,0.006,0.01,0.0102
1:20:09,0.01,0.017,0.005,0.014,0.013,0.014,0.012,0.013,0.007,0.012,0.0117
1:25:09,0.011,0.019,0.006,0.015,0.014,0.016,0.013,0.013,0.007,0.014,0.0128
1:30:09,0.012,0.021,0.006,0.017,0.016,0.017,0.014,0.014,0.008,0.016,0.0141
1:35:09,0.014,0.022,0.007,0.018,0.017,0.019,0.015,0.015,0.009,0.017,0.0153
1:40:09,0.015,0.024,0.008,0.019,0.018,0.02,0.016,0.016,0.009,0.018,0.0163
1:45:09,0.016,0.024,0.01,0.02,0.019,0.021,0.017,0.017,0.01,0.02,0.0174
1:50:09,0.017,0.024,0.011,0.021,0.02,0.022,0.018,0.019,0.011,0.021,0.0184
1:55:09,0.019,0.026,0.013,0.022,0.021,0.024,0.02,0.02,0.012,0.023,0.02
2:00:09,0.02,0.028,0.014,0.024,0.022,0.024,0.021,0.021,0.014,0.023,0.0211
2:05:09,0.021,0.03,0.015,0.025,0.021,0.024,0.023,0.023,0.016,0.023,0.0221
2:10:09,0.021,0.032,0.016,0.027,0.021,0.024,0.025,0.024,0.019,0.023,0.0232
2:15:09,0.022,0.034,0.017,0.027,0.022,0.026,0.028,0.025,0.021,0.024,0.0246
2:20:09,0.025,0.036,0.018,0.028,0.024,0.03,0.032,0.026,0.025,0.026,0.027
2:25:09,0.026,0.038,0.02,0.029,0.026,0.033,0.035,0.026,0.03,0.027,0.029
2:30:09,0.028,0.04,0.021,0.03,0.028,0.035,0.033,0.027,0.032,0.029,0.0303
2:35:09,0.031,0.042,0.02,0.032,0.031,0.037,0.031,0.03,0.029,0.031,0.0314
2:40:09,0.034,0.044,0.021,0.034,0.033,0.04,0.031,0.033,0.03,0.033,0.0333
2:45:09,0.035,0.046,0.025,0.036,0.035,0.042,0.032,0.036,0.03,0.034,0.0351
2:50:09,0.04,0.048,0.028,0.038,0.037,0.044,0.034,0.039,0.03,0.036,0.0374
2:55:09,0.039,0.05,0.03,0.04,0.039,0.047,0.035,0.041,0.03,0.037,0.0388
3:00:09,0.042,0.052,0.032,0.044,0.04,0.049,0.037,0.043,0.033,0.04,0.0412
3:05:09,0.046,0.055,0.034,0.045,0.042,0.052,0.038,0.045,0.033,0.042,0.0432
3:10:09,0.048,0.057,0.036,0.047,0.044,0.054,0.04,0.047,0.034,0.044,0.0451
3:15:09,0.046,0.059,0.039,0.049,0.045,0.057,0.042,0.049,0.036,0.046,0.0468
3:20:09,0.052,0.062,0.041,0.052,0.048,0.06,0.044,0.051,0.038,0.049,0.0497
3:25:09,0.052,0.065,0.044,0.053,0.049,0.063,0.046,0.053,0.04,0.052,0.0517
3:30:09,0.053,0.068,0.045,0.056,0.051,0.065,0.047,0.055,0.041,0.055,0.0536
3:35:09,0.06,0.071,0.048,0.059,0.054,0.069,0.05,0.058,0.044,0.058,0.0571
3:40:09,0.057,0.074,0.05,0.061,0.055,0.072,0.052,0.06,0.046,0.061,0.0588
3:45:09,0.068,0.077,0.053,0.065,0.058,0.076,0.055,0.063,0.048,0.064,0.0627
